schemaname	tablename	policyname	permissive	roles	cmd	qual	with_check
public	tax_estimates	Users manage their tax estimates	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	tax_events	Users manage their tax events	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	tax_payments	Users manage their tax payments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	tax_profiles	Users manage their tax profile	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	tax_settings	Users manage their tax settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	team_members	Owners manage their team	PERMISSIVE	{public}	ALL	(auth.uid() = owner_id)	(auth.uid() = owner_id)
public	team_project_assignments	Owners manage assignments	PERMISSIVE	{public}	ALL	(auth.uid() = owner_id)	(auth.uid() = owner_id)
public	team_time_entries	Owners manage team time	PERMISSIVE	{public}	ALL	(auth.uid() = owner_id)	(auth.uid() = owner_id)
public	testimonial_requests	Users manage testimonial requests 797	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	testimonial_requests	Users manage their testimonial requests	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	testimonials	Public can read submitted testimonials	PERMISSIVE	{public}	SELECT	((submitted_at IS NOT NULL) AND (is_public = true))	
public	testimonials	Public can view approved testimonials	PERMISSIVE	{public}	SELECT	(status = 'approved'::text)	
public	testimonials	Public can view public testimonials	PERMISSIVE	{public}	SELECT	(is_public = true)	
public	testimonials	Public view approved testimonials 797	PERMISSIVE	{public}	SELECT	(is_approved = true)	
public	testimonials	Users manage testimonials 797	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	testimonials	Users manage their testimonials	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	time_blocks	Users manage their time blocks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	time_blocks	time_blocks_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	time_entries	Users manage own time entries	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	time_entries	Users manage their time entries	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	time_off	Users manage their time off	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	time_off_log	Users manage their time off	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	time_reports	Users manage their time reports	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	time_tags	Users manage their time tags	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	timezone_clients	Users manage their timezone clients	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	tool_subscriptions	Users manage their subscriptions	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	user_onboarding_status	Users manage own onboarding	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	user_onboarding_status	Users manage their onboarding status	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	user_settings	Users manage their own settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	user_settings	Users manage their settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	vendor_payments	Users manage their vendor payments	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	vendors	Users manage their vendors	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	webhooks	Users manage own webhooks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	webhooks	Users manage their webhooks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	weekly_plans	Users manage their weekly plans	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	weekly_reviews	Users manage their weekly reviews	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	weekly_summaries	Users manage weekly summaries	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	weekly_tasks	Users manage their weekly tasks	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	weekly_time_blocks	weekly_time_blocks_owner	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	
public	wellbeing_checkins	Users manage their wellbeing checkins	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	wellbeing_logs	Users manage their wellbeing logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	wellness_logs	Users manage their wellness logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	wfh_deduction_profiles	Users manage their deduction profiles	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	winback_sends	Users manage their winback sends	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	work_boundaries	Users manage their work boundaries	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	work_journal	Users manage their journal	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	work_journal_entries	Users manage their journal	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	work_location_logs	Users manage their location logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	work_logs	Users manage their own work logs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	work_rhythm_settings	Users manage work rhythm settings	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	workflow_runs	Users manage workflow runs	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
public	workflows	Users manage workflows	PERMISSIVE	{public}	ALL	(auth.uid() = user_id)	(auth.uid() = user_id)
